url	depth	ratio
https://example.com	1	0.000
https://www.iana.org/domains/example	2	0.857
https://www.iana.org/domains/arpa	3	0.929
https://www.iana.org/protocols	3	0.999
https://www.iana.org/go/rfc2606	3	0.750
https://www.iana.org/about	3	0.850
https://www.iana.org/domains/root	3	0.917
https://www.iana.org/contact	3	0.889
https://www.iana.org/domains	3	0.927
https://www.iana.org/time-zones	3	0.718
https://www.iana.org/domains/int	3	0.923
https://www.iana.org/about/excellence	3	0.838
https://www.iana.org/numbers	3	0.850
https://www.iana.org/performance	3	0.853
https://www.iana.org/reviews	3	0.889
https://www.iana.org/abuse	3	0.905
https://www.iana.org/go/rfc6761	3	0.788
https://www.iana.org/reports	3	0.998
https://www.iana.org/domains/reserved	3	0.896
https://www.icann.org/privacy/tos	3	0.941
https://www.iana.org	3	0.882
https://www.icann.org/privacy/policy	3	0.941
